file,cryptopunks,blurr,brightness,colorswap,move,resize,rotated
8421.png,5.323146292585171,2.6615731462925853,1.756986205744823,1.3568804358717435,1.0855043486973948,0.9393787575150301,0.7679048525622674
8422.png,7.723780861723446,3.861890430861723,2.574593620574482,1.9309452154308615,1.4403807615230462,1.25250501002004,1.1033972659604923
8427.png,6.314712725450902,3.157356362725451,2.1049042418169672,1.5525843436873747,1.2629425450901803,1.1046398296593185,0.9170125966218151
8428.png,9.915664629258517,4.957832314629258,3.3052215430861724,2.4528223196392784,1.7743821042084167,1.530839462257849,1.4016127540795877
8429.png,6.001586472945892,3.000793236472946,2.0005288243152974,1.4743027805611222,1.2211923847695392,1.0350562291249163,0.8573694961351275
8430.png,7.828156312625251,3.9140781563126255,2.60938543754175,1.9309452154308615,1.503006012024048,1.269900918503674,1.11830804466075
8431.png,6.6278389779559115,3.3139194889779557,2.19188376753507,1.6830536072144289,1.2316299198396794,1.0002644121576487,0.9542895362152878
8435.png,7.306279258517034,3.653139629258517,2.4354264195056783,1.8004759519038076,1.377755511022044,1.200317301269205,1.0437541797881478
8436.png,6.680026753507015,3.3400133767535074,2.2266755845023383,1.6439128256513027,1.377755511022044,1.165525501002004,0.9542895362152878
8438.png,6.52346362725451,3.261731813627255,2.1744878757515034,1.6047720440881763,1.3673179759519039,1.1394316466265866,0.9319233753220728
8439.png,7.723780861723446,3.861890430861723,2.574593620574482,1.9309452154308615,1.4612558517034069,1.235109101536406,1.1033972659604923
8440.png,4.69689378757515,2.348446893787575,1.5482353707414829,1.1481295841683368,1.0333166332665331,0.8350033400133601,0.6635294446034926
8441.png,4.853456913827655,2.4267284569138274,1.600423079492318,1.2394580911823647,0.908066132264529,0.8610971943887775,0.6858956054967077
8442.png,6.105961923847695,3.0529809619238475,2.017924749498998,1.500396618236473,1.189879759519038,1.0263582665330662,0.8797356570283424
8443.png,6.940965230460921,3.4704826152304604,2.3136550768203072,1.7352413076152302,1.3464428857715431,1.1742234468937875,0.9766556971085029
